frequency,distance,len_phrase,nnp,nn,jj, vb,cd,sumsimilarity,class
1,11829,0.058823529411764705,0,0,0,0,0,0.148657742112,0
0,-1,0.037037037037037035,0,1,1,0,0,0.372832321329,1
0,-1,0.1,1,0,0,0,0,0.0,1
0,-1,0.07142857142857142,1,1,0,0,0,0.329287541535,1
2,34,0.16666666666666666,1,0,0,0,0,0.0735407276079,1
0,-1,0.043478260869565216,1,1,0,0,0,-0.0035893805325,1
4,482,0.08333333333333333,0,0,0,0,0,0.18459713622,1
2,2189,0.0625,1,0,0,0,0,0.203274619067,1
0,-1,0.05555555555555555,0,0,0,0,0,0.372832321329,0
1,668,0.1111111111111111,0,0,0,0,0,0.0,0
2,7442,0.16666666666666666,0,0,0,0,0,0.329287541535,0
0,-1,0.045454545454545456,0,0,0,0,0,0.0735407276079,0
0,-1,0.07692307692307693,0,0,0,0,0,-0.0035893805325,0
0,-1,0.047619047619047616,0,0,0,0,0,0.18459713622,0
0,-1,0.0625,0,0,0,0,0,0.203274619067,0
0,-1,0.02857142857142857,1,1,1,1,0,0.059021865949,1
0,-1,0.038461538461538464,0,1,1,0,0,0.0612558840464,1
0,-1,0.045454545454545456,1,1,0,0,0,0.13588189939,1
0,-1,0.04,0,1,1,0,0,0.0885571992646,1
0,-1,0.038461538461538464,0,0,0,0,0,0.059021865949,0
0,-1,0.058823529411764705,0,0,0,0,0,0.0612558840464,0
0,-1,0.058823529411764705,0,0,0,0,0,0.13588189939,0
39,4,0.25,0,0,0,0,0,0.0885571992646,0
1,6058,0.05555555555555555,1,1,0,0,0,0.0985451326706,1
0,-1,0.058823529411764705,1,1,0,0,0,0.104990107007,1
0,-1,0.05263157894736842,1,1,0,0,0,0.0922507604118,1
0,-1,0.04,0,0,0,0,0,0.0985451326706,0
0,-1,0.05,0,0,0,0,0,0.104990107007,0
0,-1,0.045454545454545456,0,0,0,0,0,0.0922507604118,0
0,-1,0.0625,1,1,0,0,0,0.0622739374521,1
0,-1,0.047619047619047616,1,0,0,1,0,0.069949344499,1
0,-1,0.09090909090909091,0,1,0,1,0,0.00720963650383,1
0,-1,0.0625,0,1,0,1,0,0.0655576204881,1
3,4639,0.1,0,0,0,0,0,0.0622739374521,0
0,-1,0.025,0,0,0,0,0,0.069949344499,0
1,12421,0.03225806451612903,0,0,0,0,0,0.00720963650383,0
0,-1,0.07142857142857142,0,0,0,0,0,0.0655576204881,0
0,-1,0.05555555555555555,1,1,0,0,0,0.0425970177166,1
0,-1,0.05263157894736842,0,0,1,1,0,0.106142317876,1
0,-1,0.06666666666666667,0,1,1,0,0,0.158764584274,1
0,-1,0.045454545454545456,1,1,0,0,0,0.0365240499377,1
0,-1,0.05,1,0,0,1,0,0.0511425361037,1
0,-1,0.06666666666666667,0,0,0,0,0,0.0425970177166,0
0,-1,0.041666666666666664,0,0,0,0,0,0.106142317876,0
0,-1,0.038461538461538464,0,0,0,0,0,0.158764584274,0
0,-1,0.05,0,0,0,0,0,0.0365240499377,0
0,-1,0.09090909090909091,0,0,0,0,0,0.0511425361037,0
0,-1,0.038461538461538464,1,1,0,1,0,0.155922660294,1
0,-1,0.05263157894736842,1,1,0,0,0,0.0813804306672,1
0,-1,0.05,1,1,0,0,0,0.117423139978,1
0,-1,0.02857142857142857,1,1,0,0,0,0.161207776144,1
0,-1,0.03225806451612903,1,1,0,0,0,0.123793504046,1
13,612,0.09090909090909091,1,0,1,0,0,0.193570410367,1
0,-1,0.1,0,0,0,0,0,0.155922660294,0
2,27806,0.16666666666666666,0,0,0,0,0,0.0813804306672,0
0,-1,0.1,0,0,0,0,0,0.117423139978,0
1,29327,0.07692307692307693,0,0,0,0,0,0.161207776144,0
2,16209,0.08333333333333333,0,0,0,0,0,0.123793504046,0
0,-1,0.08333333333333333,0,0,0,0,0,0.193570410367,0
2,888,0.05,1,1,0,0,0,0.326548527228,1
0,-1,0.027777777777777776,1,1,0,1,0,0.522480217565,1
0,-1,0.0625,1,1,0,0,0,0.197939754464,1
0,-1,0.023255813953488372,1,1,0,1,0,0.513391133281,1
0,-1,0.1,0,1,0,0,0,0.0,1
0,-1,0.05,1,1,0,0,0,0.303184730932,1
0,-1,0.05,1,0,0,1,0,0.26210559532,1
2,26990,0.2,0,0,0,0,0,0.326548527228,0
0,-1,0.030303030303030304,0,0,0,0,0,0.522480217565,0
0,-1,0.05555555555555555,0,0,0,0,0,0.197939754464,0
0,-1,0.058823529411764705,0,0,0,0,0,0.513391133281,0
0,-1,0.04,0,0,0,0,0,0.0,0
1,14499,0.058823529411764705,0,0,0,0,0,0.303184730932,0
0,-1,0.047619047619047616,0,0,0,0,0,0.26210559532,0
0,-1,0.037037037037037035,1,1,0,0,0,0.120379238613,1
0,-1,0.03225806451612903,1,1,0,0,0,0.123793504046,1
0,-1,0.0625,0,1,0,1,0,0.108417229727,1
0,-1,0.0625,1,1,0,0,0,0.135057383224,1
0,-1,0.06666666666666667,1,1,0,0,0,0.130539149046,1
0,-1,0.07142857142857142,0,1,0,1,0,0.0010442990897,1
0,-1,0.047619047619047616,0,0,0,0,0,0.120379238613,0
0,-1,0.047619047619047616,0,0,0,0,0,0.123793504046,0
0,-1,0.05263157894736842,0,0,0,0,0,0.108417229727,0
16,2301,0.14285714285714285,0,0,0,0,0,0.135057383224,0
1,17206,0.1,0,0,0,0,0,0.130539149046,0
2,35063,0.09090909090909091,0,0,0,0,0,0.0010442990897,0
0,-1,0.02702702702702703,1,1,0,0,0,0.0467212894,1
0,-1,0.038461538461538464,0,1,1,0,0,0.0674202696731,1
0,-1,0.05555555555555555,1,0,0,1,0,0.0408085948293,1
0,-1,0.047619047619047616,1,1,0,0,0,0.103183359179,1
1,29323,0.09090909090909091,1,0,0,0,0,0.0190744022839,1
3,11295,0.1111111111111111,0,0,0,0,0,0.0467212894,0
0,-1,0.125,0,0,0,0,0,0.0674202696731,0
0,-1,0.03225806451612903,0,0,0,0,0,0.0408085948293,0
0,-1,0.058823529411764705,0,0,0,0,0,0.103183359179,0
0,-1,0.03333333333333333,0,0,0,0,0,0.0190744022839,0
